League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Wales Welsh Premier League,2024-12-31,09:30:00,21,Bala Town,Caernarfon Town,2.3,2.2,4.75,1.77,3.65,3.85,1.36,3.0,1.04,11.0,1.27,3.55,1.75,1.95,1.83,1.83,1.21,1.24,2.05,1.7,1.8,1.34,1.38,2.72,1.39,7.3,3.84,1.19,3.82,1.38,2.62,1.7,2.05,2.1,1.59,2.78,1.34
Wales Welsh Premier League,2024-12-31,09:30:00,21,Briton Ferry,Barry Town United,3.6,2.38,2.4,3.2,3.6,1.95,1.29,3.5,1.01,15.0,1.17,4.7,1.53,2.35,1.53,2.38,1.78,1.25,1.31,1.1,1.1,1.37,1.41,2.78,2.21,6.35,1.97,1.18,3.88,1.36,2.69,1.71,2.03,2.13,1.64,2.74,1.35
Wales Welsh Premier League,2024-12-31,11:30:00,21,The New Saints,Connah's Quay,1.44,3.1,11.0,1.13,7.5,14.0,1.2,4.33,1.01,11.0,1.06,6.1,1.33,3.25,2.2,1.62,1.02,1.05,4.0,2.33,1.33,2.7,1.51,4.21,1.07,11.75,10.25,1.17,3.98,1.35,2.74,1.69,2.07,2.13,1.65,2.69,1.36
Wales Welsh Premier League,2024-12-31,14:45:00,21,Penybont,Cardiff MU,2.1,2.2,5.5,1.53,3.95,5.25,1.36,3.0,1.0,9.3,1.27,3.55,1.82,1.94,2.0,1.73,1.14,1.19,2.16,2.22,1.5,1.88,1.32,3.2,1.18,8.9,6.45,1.39,2.85,1.67,2.13,2.09,1.69,2.72,1.42,3.78,1.24
