League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Uruguay Primera División,2024-11-18,16:30:00,0,Progreso,Fénix,3.2,1.91,3.58,2.4,2.9,2.6,1.5,2.48,1.02,7.0,1.35,2.65,2.2,1.6,1.87,1.79,1.37,1.33,1.46,1.59,1.13,1.41,1.25,2.66,1.86,8.0,2.2,1.26,3.08,1.6,2.29,1.99,1.81,2.55,1.5,3.35,1.22
Argentina Primera División,2024-11-18,17:00:00,23,Banfield,Tigre,3.1,1.91,4.33,2.25,3.25,3.25,1.57,2.25,1.09,7.0,1.48,2.46,2.5,1.5,2.1,1.67,1.3,1.3,1.62,1.0,1.18,1.21,1.25,2.46,1.6,5.8,2.48,1.52,2.33,1.9,1.79,2.4,1.49,3.2,1.29,4.35,1.17
Uruguay Primera División,2024-11-18,19:00:00,13,Cerro,Boston River,4.0,2.0,3.0,3.2,2.9,2.04,1.5,2.5,1.08,7.0,1.42,2.75,2.2,1.6,1.91,1.8,1.65,1.3,1.3,1.29,1.44,1.12,1.17,2.29,2.1,7.8,1.95,1.31,2.82,1.67,2.18,2.09,1.73,2.61,1.36,3.66,1.18
Argentina Primera División,2024-11-18,19:15:00,23,Platense,Godoy Cruz,3.25,1.8,4.75,2.3,2.88,3.7,1.67,2.1,1.12,5.87,1.61,2.22,3.4,1.33,2.63,1.44,1.32,1.35,1.63,1.36,1.27,1.2,1.23,2.43,1.58,6.1,2.48,1.56,2.23,1.95,1.74,2.55,1.44,3.4,1.26,4.6,1.14
Argentina Primera División,2024-11-18,19:15:00,23,Defensa y Justicia,Deportivo Riestra,2.5,2.05,5.5,1.8,3.2,5.25,1.5,2.5,1.07,7.61,1.43,2.75,2.3,1.6,2.05,1.7,1.19,1.28,2.05,1.14,1.41,1.36,1.19,2.55,1.48,6.5,2.8,1.41,2.65,1.7,2.0,2.12,1.63,2.7,1.38,3.65,1.23
Brazil Serie B,2024-11-18,21:00:00,37,Botafogo SP,Avaí,3.1,1.83,4.5,2.21,2.8,3.2,1.57,2.25,1.1,6.5,1.52,2.4,2.55,1.45,2.25,1.57,1.22,1.28,1.75,1.28,0.94,1.22,1.11,2.33,1.62,6.9,3.0,1.18,4.6,1.34,3.1,2.0,2.23,2.02,1.74,2.65,1.44
Argentina Primera División,2024-11-18,21:30:00,23,Atlético Tucumán,Huracán,3.4,1.83,4.0,2.45,3.0,3.2,1.62,2.2,1.12,5.87,1.58,2.3,2.88,1.4,2.25,1.57,1.4,1.36,1.52,1.5,1.82,1.46,1.24,2.7,1.67,5.8,2.33,1.44,2.55,1.74,1.95,2.18,1.58,2.88,1.35,3.8,1.21
Argentina Primera División,2024-11-18,21:30:00,23,Instituto,Argentinos Juniors,3.1,1.91,4.33,2.25,3.0,3.6,1.57,2.25,1.11,6.28,1.51,2.45,2.6,1.48,2.1,1.67,1.32,1.33,1.65,1.32,1.18,1.3,1.45,2.75,1.79,6.1,2.12,1.36,2.8,1.63,2.12,2.0,1.71,2.55,1.44,3.3,1.27
Uruguay Primera División,2024-11-18,21:30:00,13,Cerro Largo,Wanderers,3.1,1.91,4.33,2.1,2.9,3.1,1.57,2.25,1.1,6.25,1.49,2.45,2.25,1.57,2.2,1.62,1.28,1.3,1.65,1.38,1.25,1.42,1.22,2.64,1.69,7.8,2.51,1.34,2.69,1.71,2.11,2.16,1.68,2.78,1.32,4.35,1.17
Brazil Serie B,2024-11-18,21:45:00,37,Ceará,América Mineiro,2.2,2.25,6.0,1.6,3.5,4.7,1.39,2.96,1.03,9.0,1.25,3.6,1.85,1.85,1.91,1.8,1.17,1.26,2.07,2.33,0.72,1.68,1.21,2.89,1.33,10.25,3.9,1.13,4.8,1.23,3.28,1.44,2.43,1.79,1.92,2.21,1.53
