League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Austria 2. Liga,2024-11-22,14:00:00,14,Floridsdorfer AC,Voitsberg,2.88,2.05,3.6,2.15,3.3,3.0,1.42,2.74,1.0,8.1,1.27,3.04,2.0,1.75,1.83,1.83,1.33,1.3,1.64,1.33,0.83,1.34,1.32,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2024-11-22,14:30:00,13,Paderborn,Nürnberg,2.5,2.38,3.75,1.87,3.8,3.65,1.3,3.4,1.03,11.0,1.18,4.5,1.63,2.2,1.57,2.25,1.3,1.2,1.83,2.2,1.33,1.5,1.41,2.91,1.64,8.5,2.64,1.14,5.15,1.27,3.52,1.47,2.57,1.77,1.98,2.21,1.62
Germany 2. Bundesliga,2024-11-22,14:30:00,13,Preußen Münster,Köln,4.33,2.4,2.25,3.95,3.95,1.77,1.29,3.5,1.01,13.0,1.18,4.75,1.57,2.35,1.53,2.38,2.05,1.18,1.18,1.0,1.6,1.23,1.77,3.0,3.06,9.0,1.51,1.16,4.85,1.3,3.32,1.52,2.44,1.82,1.98,2.32,1.57
Greece Super League,2024-11-22,14:30:00,12,Kallithea,Panserraikos,3.0,2.05,4.0,2.13,3.25,3.4,1.44,2.63,1.08,8.2,1.39,3.05,2.05,1.7,1.91,1.91,1.29,1.31,1.58,0.6,1.0,1.38,1.29,2.67,1.75,7.5,2.45,1.5,2.52,1.85,1.95,2.37,1.55,3.14,1.25,4.3,1.18
Denmark Superliga,2024-11-22,15:00:00,16,Nordsjælland,AGF,2.75,2.2,4.0,1.99,3.4,3.65,1.4,2.75,1.03,11.5,1.29,3.55,1.86,1.91,1.75,2.0,1.3,1.25,1.83,2.0,1.33,1.68,1.16,2.84,1.68,6.5,2.3,1.2,3.9,1.37,2.8,2.1,2.17,1.96,1.74,2.43,1.48
Serbia SuperLiga,2024-11-22,15:00:00,16,Radnički Niš,Čukarički,3.25,2.1,3.0,2.8,3.2,2.25,1.4,2.75,1.03,9.0,1.28,3.5,1.9,1.9,1.73,2.0,1.57,1.25,1.4,2.43,1.0,1.78,1.49,3.27,2.0,7.5,2.1,1.34,2.85,1.59,2.15,2.0,1.72,2.5,1.45,3.3,1.27
France Ligue 1,2024-11-22,15:00:00,12,Monaco,Brest,2.05,2.4,5.5,1.54,4.5,5.8,1.3,3.4,1.03,15.0,1.2,4.5,1.65,2.25,1.75,2.0,1.12,1.18,2.6,1.83,0.6,1.51,1.27,2.78,1.4,6.75,3.3,1.46,2.5,1.75,1.95,2.2,1.58,2.88,1.35,3.8,1.2
Switzerland Challenge League,2024-11-22,15:30:00,15,Stade Nyonnais,Vaduz,3.2,2.38,2.63,2.88,3.6,2.15,1.27,3.54,1.01,13.0,1.12,4.45,1.48,2.47,1.5,2.5,1.61,1.23,1.36,0.86,0.57,1.62,1.21,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-22,15:30:00,17,SSC Farul,Oţelul Galaţi,3.2,2.0,3.75,2.3,3.25,2.88,1.5,2.5,1.03,6.95,1.41,2.45,2.34,1.53,2.0,1.73,1.35,1.34,1.56,1.63,1.25,1.58,1.29,2.87,2.02,8.0,2.06,1.3,2.88,1.58,2.12,2.03,1.7,2.62,1.38,3.6,1.19
Switzerland Challenge League,2024-11-22,15:30:00,15,FC Schaffhausen,Stade Lausanne-Ouchy,3.1,2.2,3.1,2.5,3.4,2.5,1.34,3.1,1.0,8.2,1.2,3.55,1.7,2.03,1.62,2.2,1.46,1.26,1.45,0.71,0.86,1.62,1.6,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,Utrecht II,Roda JC,3.75,2.25,2.75,3.1,3.6,2.05,1.33,3.25,1.04,10.0,1.22,4.2,1.7,2.1,1.62,2.2,1.7,1.22,1.33,0.57,0.88,1.46,1.66,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France Ligue 2,2024-11-22,16:00:00,14,Martigues,Laval,4.0,2.0,3.0,3.4,3.1,2.25,1.5,2.5,1.08,7.5,1.42,2.75,2.17,1.61,2.0,1.73,1.66,1.28,1.3,0.14,1.14,0.99,1.1,2.09,2.62,8.0,1.69,1.27,3.55,1.5,2.48,1.9,1.9,2.45,1.5,3.4,1.29
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,PSV II,Volendam,4.0,2.5,2.3,3.5,4.33,1.75,1.25,3.75,1.01,17.0,1.12,5.75,1.44,2.7,1.44,2.63,1.95,1.18,1.25,0.33,1.57,1.6,1.64,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,De Graafschap,Oss,1.73,2.75,7.0,1.3,5.5,7.5,1.22,4.0,0.0,0.0,1.14,5.5,1.44,2.7,1.73,2.0,1.05,1.14,3.4,2.29,0.5,1.79,1.03,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,Den Bosch,Excelsior,3.4,2.38,2.75,3.0,3.5,2.15,1.29,3.5,1.01,13.0,1.18,4.75,1.57,2.35,1.5,2.5,1.55,1.22,1.44,2.14,1.57,1.8,1.84,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,Ajax II,Telstar,3.75,2.25,2.63,3.25,3.6,2.0,1.36,3.0,1.05,9.5,1.3,3.45,1.75,2.05,1.67,2.1,1.7,1.25,1.3,0.43,1.5,1.58,1.64,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,AZ II,ADO Den Haag,4.0,2.4,2.5,3.5,3.75,1.9,1.29,3.5,1.04,10.0,1.18,4.75,1.57,2.35,1.53,2.38,1.85,1.22,1.28,1.0,1.5,1.87,1.58,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,Helmond Sport,Eindhoven,1.91,2.5,6.5,1.42,5.25,5.25,1.3,3.4,1.03,11.0,1.2,4.33,1.62,2.25,1.83,1.83,1.11,1.14,2.7,1.57,1.25,1.63,1.13,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France Ligue 2,2024-11-22,16:00:00,14,Clermont,Metz,4.33,2.05,2.88,3.5,3.2,2.12,1.5,2.5,1.08,7.5,1.38,2.9,2.15,1.61,1.91,1.8,1.7,1.28,1.28,1.14,1.5,1.24,1.43,2.67,2.33,8.0,1.82,1.3,3.35,1.55,2.38,1.98,1.82,2.6,1.46,3.6,1.26
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,Vitesse,Cambuur,3.6,2.1,3.0,2.7,3.8,2.2,1.4,2.75,1.05,9.5,1.28,3.5,1.95,1.85,1.83,1.83,1.55,1.22,1.48,0.57,2.14,1.58,1.94,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France Ligue 2,2024-11-22,16:00:00,14,Guingamp,Amiens SC,2.6,2.1,4.5,1.9,3.5,4.1,1.44,2.63,1.06,8.5,1.33,3.1,2.03,1.83,1.83,1.83,1.2,1.25,1.85,1.86,0.5,1.78,1.24,3.02,1.55,8.5,3.01,1.3,3.3,1.56,2.33,2.0,1.8,2.63,1.45,3.65,1.26
France Ligue 2,2024-11-22,16:00:00,14,Caen,Rodez,2.88,2.25,3.5,2.3,3.5,2.9,1.33,3.25,1.05,9.5,1.22,4.0,1.68,2.06,1.57,2.25,1.4,1.22,1.62,1.43,1.14,1.35,1.26,2.61,1.82,8.0,2.39,1.27,3.55,1.5,2.48,1.9,1.9,2.45,1.5,3.4,1.29
France Ligue 2,2024-11-22,16:00:00,14,Pau,Red Star,2.75,2.2,4.0,2.1,3.3,3.5,1.4,2.75,1.05,9.0,1.28,3.5,2.03,1.83,1.73,2.0,1.28,1.25,1.75,1.83,1.0,1.44,1.24,2.68,1.45,8.5,3.29,1.27,3.55,1.5,2.48,1.9,1.9,2.45,1.5,3.4,1.29
France Ligue 2,2024-11-22,16:00:00,14,Troyes,Grenoble Foot 38,2.88,2.05,4.0,2.2,3.3,3.25,1.44,2.63,1.07,8.0,1.36,2.95,2.12,1.64,1.83,1.83,1.3,1.25,1.7,1.17,0.5,1.46,1.23,2.69,1.75,8.0,2.42,1.3,3.35,1.55,2.38,1.98,1.82,2.6,1.46,3.6,1.26
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,VVV,Emmen,4.0,2.38,2.5,3.5,3.6,1.91,1.3,3.4,1.04,10.0,1.2,4.33,1.62,2.25,1.57,2.25,1.8,1.22,1.28,0.5,2.5,1.65,1.83,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-11-22,16:00:00,16,MVV,Dordrecht,3.75,2.38,2.5,3.3,3.75,1.95,1.29,3.5,1.04,10.0,1.18,4.75,1.57,2.35,1.53,2.38,1.8,1.22,1.3,1.29,1.43,1.68,1.38,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-11-22,16:15:00,15,Neuchâtel Xamax,Thun,3.4,2.25,2.63,2.75,3.4,2.3,1.31,3.26,1.01,11.0,1.16,3.9,1.64,2.12,1.57,2.25,1.61,1.24,1.34,1.86,1.71,1.6,1.83,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-11-22,16:15:00,15,Étoile Carouge,Bellinzona,2.4,2.2,4.33,1.8,3.6,3.8,1.36,2.99,1.01,7.9,1.22,3.35,1.8,1.98,1.73,2.0,1.22,1.24,1.86,2.29,1.14,1.68,1.64,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany Bundesliga,2024-11-22,16:30:00,11,Bayern München,Augsburg,1.4,3.5,12.0,1.13,9.2,17.0,1.17,5.0,0.0,0.0,1.06,9.5,1.26,3.63,1.95,1.8,1.02,1.05,6.25,2.5,0.25,1.83,0.97,2.8,1.07,12.0,8.0,1.19,3.9,1.35,2.88,1.58,2.18,1.91,1.77,2.4,1.49
Spain Segunda División,2024-11-22,16:30:00,16,Racing Club de Ferrol,Levante UD,4.0,1.91,3.1,3.0,3.0,2.65,1.57,2.25,1.1,7.0,1.53,2.37,2.47,1.48,2.1,1.67,1.57,1.3,1.35,0.88,1.43,1.14,1.25,2.39,2.17,6.1,1.79,1.36,2.8,1.62,2.1,2.0,1.8,2.55,1.42,3.4,1.25
Italy Serie B,2024-11-22,16:30:00,14,Cosenza,Modena,3.4,1.91,3.75,2.5,3.0,2.88,1.57,2.25,1.1,6.5,1.47,2.55,2.4,1.5,2.05,1.7,1.38,1.3,1.5,1.29,0.5,1.56,1.07,2.63,2.1,8.0,1.95,1.29,3.25,1.52,2.36,1.95,1.85,2.39,1.51,3.2,1.3
Austria 2. Liga,2024-11-22,16:30:00,14,Ried,Schwarz-Weiß Bregenz,1.91,2.5,6.0,1.42,4.75,5.75,1.28,3.48,1.01,13.0,1.13,4.25,1.57,2.25,1.8,1.91,1.09,1.17,2.74,1.67,1.67,1.28,1.4,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2024-11-22,16:30:00,16,Jagiellonia Białystok,Śląsk Wrocław,2.4,2.25,4.5,1.81,3.65,4.1,1.35,2.95,1.05,9.5,1.25,3.75,1.8,1.99,1.75,2.0,1.18,1.22,1.95,2.13,0.29,1.82,1.18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium Pro League,2024-11-22,16:45:00,15,Royal Antwerp FC,FCV Dender EH,1.95,2.38,5.5,1.44,4.6,6.4,1.3,3.2,1.04,10.0,1.2,4.33,1.67,2.1,1.7,2.0,1.12,1.17,2.5,2.14,1.33,1.76,1.13,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League Two,2024-11-22,16:45:00,17,Cheltenham Town,Tranmere Rovers,3.25,2.05,3.6,2.5,3.3,2.75,1.44,2.63,1.07,8.0,1.38,3.0,2.09,1.66,1.83,1.83,1.42,1.28,1.5,1.38,1.14,1.31,1.25,2.56,1.95,8.5,2.0,1.17,4.35,1.41,2.68,1.69,2.04,2.12,1.64,2.75,1.39
Wales Welsh Premier League,2024-11-22,16:45:00,17,Newtown,Connah's Quay,3.4,2.25,2.75,2.75,3.4,2.2,1.33,3.25,0.0,0.0,0.0,0.0,1.68,2.06,1.62,2.2,0.0,0.0,0.0,1.25,1.13,1.77,1.54,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2024-11-22,17:00:00,14,Getafe CF,Real Valladolid,2.4,1.91,7.0,1.67,3.4,6.0,1.62,2.2,1.12,6.5,1.57,2.36,2.75,1.44,2.63,1.44,1.12,1.28,2.25,1.14,0.5,1.27,0.86,2.13,1.4,6.75,3.3,1.41,2.63,1.71,2.0,2.14,1.62,2.7,1.38,3.65,1.23
France Ligue 1,2024-11-22,17:00:00,12,PSG,Toulouse,1.73,2.75,7.0,1.35,5.6,7.6,1.25,3.75,1.01,23.0,1.14,6.0,1.42,2.74,1.75,2.0,1.05,1.11,3.4,3.0,1.4,2.25,1.26,3.51,1.23,8.0,4.6,1.3,3.05,1.54,2.3,1.89,1.8,2.4,1.5,3.05,1.3
England Championship,2024-11-22,17:00:00,16,Plymouth Argyle,Watford,3.4,2.3,2.88,3.05,3.55,2.27,1.33,3.25,1.03,15.0,1.22,4.33,1.65,2.15,1.53,2.38,1.66,1.25,1.4,2.0,0.75,1.52,1.09,2.61,1.9,6.75,2.07,1.15,4.6,1.28,3.3,1.47,2.48,1.74,1.96,2.14,1.61
Brazil Serie B,2024-11-22,19:00:00,38,Coritiba,Botafogo SP,2.2,2.1,6.5,1.65,3.5,5.5,1.5,2.5,1.07,8.0,1.49,2.45,2.23,1.58,2.25,1.57,1.12,1.2,2.3,1.94,1.06,1.71,1.23,2.94,1.51,8.5,3.16,1.2,4.25,1.38,2.9,2.1,2.12,2.12,1.67,2.85,1.38
Brazil Serie B,2024-11-22,20:00:00,38,Avaí,Ponte Preta,2.3,2.05,6.0,1.85,3.2,4.5,1.53,2.38,1.09,7.0,1.48,2.65,2.32,1.54,2.2,1.62,1.14,1.25,2.1,1.67,0.5,1.33,1.19,2.52,1.4,9.6,3.61,1.2,4.25,1.38,2.9,2.1,2.12,2.12,1.67,2.85,1.38
Brazil Serie A,2024-11-22,21:30:00,34,Fluminense,Fortaleza,2.88,2.0,4.5,2.17,3.3,3.5,1.52,2.55,1.02,1.02,1.45,2.75,2.5,1.53,2.05,1.7,1.28,1.28,1.75,1.5,1.25,1.48,1.09,2.57,1.64,8.0,2.67,1.25,3.6,1.47,2.6,2.2,1.97,2.25,1.6,2.95,1.37
Brazil Serie B,2024-11-22,21:30:00,38,Ituano,Amazonas,3.0,2.05,4.0,2.45,3.3,2.75,1.44,2.63,1.06,8.5,1.38,3.0,2.12,1.65,1.83,1.83,1.36,1.28,1.57,1.33,0.72,1.29,1.2,2.49,1.95,8.5,2.1,1.2,4.25,1.38,2.9,2.1,2.12,2.12,1.67,2.85,1.38
