League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 2,2025-06-06,07:00:00,15,Cheongju,Asan Mugunghwa,3.88,2.04,2.7,3.24,3.28,2.1,1.4,2.72,2.93,1.35,7.3,1.03,1.01,8.7,1.29,3.04,2.0,1.73,1.79,1.87,1.64,1.28,1.28,0.5,0.86,1.45,1.4,2.85,2.6,6.05,1.76,1.46,2.38,1.85,1.81,2.42,1.44,3.34,1.24,4.25,1.16
SOUTH KOREA 2,2025-06-06,07:00:00,15,Seongnam,Suwon Bluewings,4.33,2.15,2.35,4.0,3.52,1.7,1.38,2.8,2.8,1.38,6.4,1.05,1.05,8.5,1.3,3.35,1.89,1.81,1.8,1.83,2.0,1.22,1.17,1.71,1.33,1.06,1.71,2.77,3.12,8.2,1.48,1.34,2.78,1.65,2.05,2.08,1.6,2.78,1.34,3.55,1.23
BRAZIL 2,2025-06-06,19:00:00,11,Novorizontino,Chapecoense,2.3,1.93,7.44,1.59,3.4,5.6,1.5,2.38,3.6,1.25,11.0,1.03,1.05,6.75,1.5,2.4,2.05,1.61,2.55,1.52,1.11,1.26,2.15,2.2,0.8,2.14,1.61,3.75,1.3,7.5,3.4,1.2,4.4,1.36,2.85,1.52,2.18,1.86,1.88,2.32,1.52
BRAZIL 2,2025-06-06,21:35:00,11,Cuiabá,Paysandu,1.97,2.05,6.2,1.68,3.34,4.9,1.49,2.55,3.2,1.34,9.0,1.01,1.07,8.0,1.39,2.6,2.2,1.55,2.17,1.6,1.22,1.25,2.25,2.0,0.4,1.67,1.13,2.8,1.47,9.4,3.45,1.18,4.1,1.36,2.97,1.74,2.25,1.95,1.8,2.42,1.5
