League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 1,2025-05-07,07:00:00,15,Machida Zelvia,Kyoto Sanga,2.63,2.05,4.5,1.88,3.15,3.68,1.44,2.63,3.25,1.33,10.0,1.06,0.0,0.0,0.0,0.0,2.1,1.6,2.0,1.75,0.0,0.0,0.0,0.67,1.63,1.36,1.4,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN 1,2025-05-07,07:00:00,15,Shonan Bellmare,Sanfrecce Hiroshima,4.5,2.05,2.75,3.86,3.26,1.8,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,0.0,0.0,2.15,1.57,2.0,1.75,0.0,0.0,0.0,1.67,0.8,1.48,1.65,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGYPT 1,2025-05-07,11:00:00,5,El Gounah,Coca-Cola,4.4,1.52,3.7,3.51,2.47,2.32,1.7,1.97,4.2,1.17,15.0,1.03,1.16,4.4,1.65,2.05,3.09,1.32,2.4,1.47,1.32,1.43,1.28,1.29,0.8,1.16,1.12,2.28,2.26,7.0,1.95,1.34,2.62,1.7,2.06,2.1,1.65,2.75,1.4,3.6,1.25
BULGARIA 1,2025-05-07,11:00:00,3,CSKA 1948 Sofia,Hebar 1918,1.7,2.5,7.8,1.55,3.85,5.0,1.3,3.25,2.38,1.53,5.6,1.1,1.02,12.5,1.2,4.2,1.65,2.05,2.01,1.79,1.16,1.16,3.65,1.16,0.53,1.72,1.14,2.86,1.37,9.5,3.8,1.22,3.38,1.48,2.48,2.01,1.96,2.25,1.6,2.83,1.37
BULGARIA 1,2025-05-07,13:30:00,3,Lokomotiv Sofia 1929,Botev Vratsa,2.26,2.08,5.1,1.71,3.4,4.7,1.41,2.69,2.99,1.34,7.5,1.03,1.01,8.5,1.36,3.0,2.05,1.61,1.95,1.75,1.3,1.28,2.0,1.06,0.84,1.33,1.23,2.56,1.55,8.3,3.0,1.35,2.93,1.64,2.24,2.28,1.77,2.5,1.47,3.3,1.27
SLOVENIA 1,2025-05-07,13:45:00,29,Maribor,Celje,2.88,2.25,3.1,2.34,3.32,2.56,1.33,3.25,2.63,1.44,6.0,1.11,0.0,0.0,0.0,0.0,1.76,1.94,1.62,2.2,0.0,0.0,0.0,2.33,1.63,1.96,1.78,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGYPT 1,2025-05-07,14:00:00,5,Ismaily SC,ENPPI,3.9,1.55,3.9,2.57,2.49,3.04,1.7,1.97,4.2,1.17,12.0,1.0,1.14,4.7,1.74,1.96,3.34,1.28,2.5,1.45,1.47,1.42,1.37,0.81,0.9,0.97,1.0,1.97,1.9,7.0,2.38,1.56,2.3,1.91,1.8,2.4,1.5,3.2,1.3,4.55,1.18
