League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-11-25,12:30:00,16,Slavia Sofia,Levski Krumovgrad,2.5,2.05,5.5,1.75,3.5,4.75,1.53,2.38,1.03,6.8,1.46,2.6,2.25,1.62,2.1,1.67,1.21,1.28,1.64,1.63,1.13,1.36,1.07,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-25,12:30:00,17,Botoşani,CSM Iaşi,3.4,2.0,3.5,2.35,2.95,2.8,1.5,2.5,1.09,8.0,1.45,2.75,2.35,1.53,1.91,1.8,1.31,1.3,1.46,1.43,0.57,1.72,1.45,3.17,1.58,7.0,2.82,1.31,3.05,1.58,2.2,2.05,1.68,2.75,1.39,3.9,1.21
Greece Super League,2024-11-25,13:00:00,12,Atromitos,Levadiakos,2.4,2.1,5.5,1.7,3.45,5.0,1.44,2.63,1.08,8.2,1.39,3.0,2.1,1.65,2.05,1.7,1.16,1.26,1.93,0.67,0.6,1.32,0.97,2.29,1.64,8.0,2.77,1.36,2.85,1.7,2.1,2.05,1.7,3.1,1.31,4.35,1.17
Turkey Süper Lig,2024-11-25,14:00:00,13,Trabzonspor,Adana Demirspor,1.95,2.5,6.0,1.4,4.75,6.0,1.29,3.5,1.02,23.0,1.13,5.61,1.45,2.55,1.73,2.0,1.12,1.2,3.1,1.6,0.4,1.48,1.21,2.69,1.3,7.0,3.45,1.27,3.3,1.47,2.48,1.76,1.93,2.18,1.58,2.8,1.36
Italy Serie A,2024-11-25,14:30:00,13,Empoli,Udinese,3.6,1.91,3.6,2.5,2.85,3.1,1.62,2.2,1.12,6.5,1.55,2.4,2.7,1.45,2.2,1.62,1.45,1.36,1.47,1.0,0.67,0.88,1.33,2.21,1.97,6.65,2.33,1.2,3.52,1.42,2.49,1.77,1.94,2.21,1.53,2.92,1.29
Poland Ekstraklasa,2024-11-25,15:00:00,16,Puszcza Niepołomice,Widzew Łódź,3.75,2.2,2.88,3.1,3.5,2.2,1.4,2.75,1.05,9.0,1.28,3.5,1.95,1.85,1.75,2.0,1.62,1.25,1.36,1.5,1.0,1.48,1.39,2.87,2.4,7.0,1.75,1.18,4.15,1.4,2.7,2.38,2.0,2.22,1.58,2.98,1.33
Denmark Superliga,2024-11-25,15:00:00,16,Midtjylland,Silkeborg,2.2,2.5,4.5,1.67,4.2,4.5,1.29,3.5,1.04,18.5,1.19,4.7,1.5,2.5,1.5,2.5,1.2,1.19,2.25,2.63,1.25,1.78,1.16,2.94,1.28,7.4,4.7,1.15,4.05,1.31,3.05,2.1,2.18,2.0,1.7,2.68,1.41
Romania Liga I,2024-11-25,15:30:00,17,UTA Arad,CS U Craiova,4.33,2.1,2.63,3.9,3.0,1.9,1.4,2.75,1.0,8.2,1.26,3.08,1.9,1.8,1.8,1.91,1.81,1.28,1.25,1.5,1.13,1.59,1.54,3.13,2.75,7.0,1.6,1.27,3.35,1.5,2.35,1.92,1.78,2.58,1.44,3.55,1.24
Netherlands Eerste Divisie,2024-11-25,16:00:00,15,Volendam,Ajax II,1.83,2.88,5.5,1.4,5.3,6.14,1.18,4.5,0.0,0.0,1.08,7.5,1.29,3.6,1.44,2.63,1.12,1.12,2.8,2.14,1.29,2.01,1.47,3.48,1.25,7.8,5.05,1.15,4.5,1.24,3.55,1.48,2.45,1.82,1.85,2.38,1.5
Netherlands Eerste Divisie,2024-11-25,16:00:00,15,Dordrecht,Oss,1.91,2.75,5.5,1.43,5.06,6.04,1.22,4.0,0.0,0.0,1.12,6.0,1.4,2.88,1.57,2.25,1.11,1.12,2.8,2.14,0.43,2.01,0.96,2.97,1.22,8.0,5.45,1.16,4.4,1.28,3.3,1.5,2.38,1.88,1.8,2.45,1.48
Netherlands Eerste Divisie,2024-11-25,16:00:00,15,Emmen,De Graafschap,2.63,2.5,3.25,2.18,3.88,2.94,1.25,3.75,1.01,15.0,1.16,5.0,1.48,2.6,1.4,2.75,1.45,1.2,1.63,1.13,1.43,1.76,1.95,3.71,2.0,6.0,2.15,0.0,0.0,1.28,3.3,1.5,2.35,1.88,1.8,2.48,1.46
Netherlands Eerste Divisie,2024-11-25,16:00:00,15,PSV II,AZ II,2.75,2.6,3.1,2.25,4.07,2.74,1.2,4.33,0.0,0.0,1.09,7.5,1.36,3.1,1.33,3.25,1.52,1.18,1.6,0.29,1.43,1.66,1.28,2.94,2.25,6.0,1.92,0.0,0.0,1.28,3.3,1.52,2.32,1.92,1.78,2.55,1.45
Netherlands Eerste Divisie,2024-11-25,16:00:00,15,Helmond Sport,ADO Den Haag,3.5,2.3,2.75,3.13,3.62,2.17,1.3,3.4,1.02,17.0,1.2,4.5,1.61,2.2,1.57,2.25,1.72,1.22,1.38,1.38,1.43,1.54,1.68,3.22,2.52,6.0,1.75,0.0,0.0,1.33,3.0,1.6,2.15,2.05,1.65,2.72,1.4
France Ligue 2,2024-11-25,16:45:00,14,Dunkerque,Ajaccio,2.75,2.0,4.75,1.85,3.1,3.85,1.53,2.38,1.09,7.0,1.44,2.65,2.25,1.57,2.1,1.67,1.25,1.28,1.78,2.57,0.17,1.58,1.1,2.68,1.64,8.0,2.67,1.43,2.6,1.75,1.96,2.24,1.58,2.98,1.34,3.88,1.21
Italy Serie A,2024-11-25,16:45:00,13,Venezia,Lecce,3.0,2.1,3.75,2.15,3.3,3.3,1.44,2.63,1.07,10.0,1.33,3.3,2.0,1.8,1.8,1.95,1.36,1.28,1.65,1.2,0.17,1.48,1.25,2.73,1.8,8.6,2.41,1.22,3.35,1.45,2.41,1.83,1.87,2.3,1.49,3.02,1.27
England EFL League Two,2024-11-25,17:00:00,17,Port Vale,Crewe Alexandra,2.5,2.05,5.0,1.8,3.35,4.2,1.5,2.5,1.07,8.5,1.42,2.9,2.0,1.7,2.0,1.73,1.22,1.25,1.95,2.0,1.57,1.37,0.95,2.32,1.51,8.5,3.07,1.18,3.68,1.38,2.62,1.7,2.05,2.12,1.58,2.73,1.33
England Premier League,2024-11-25,17:00:00,12,Newcastle United,West Ham United,2.0,2.5,5.5,1.5,4.4,5.75,1.29,3.5,1.02,18.0,1.18,5.1,1.57,2.35,1.67,2.1,1.13,1.2,2.68,2.0,1.0,1.12,1.2,2.32,1.3,8.0,3.65,1.15,4.6,1.27,3.3,1.46,2.48,1.72,1.98,2.1,1.64
Paraguay Division Profesional,2024-11-25,19:00:00,21,2 de Mayo,Sportivo Luqueño,2.6,2.05,5.0,1.8,3.3,4.0,1.44,2.7,1.0,8.2,1.35,2.85,2.35,1.57,2.1,1.67,1.27,1.29,1.67,1.49,1.38,1.24,1.35,2.59,1.56,8.4,2.8,1.22,3.34,1.52,2.47,1.88,1.92,2.37,1.56,3.02,1.27
